No. ,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,ON SITE/ OFF SITE,Sub Item No. ,N,E,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation,
12,963,Godampitiya,4. Rennovation of Leader Drain 2,OFF,1,7.24982,80.67545,1.2 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 120,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years,
12,963,Godampitiya,5. Rennovation of Leader Drain 3,OFF,1,7.2498,80.67564,2 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 200,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years,
13,964,Puliyadda,1. Renovation of three (03) Leader Drains,OFF,1,7.1436474,80.3921685,5 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 500,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years,
13,964,Puliyadda,1. Renovation of three (03) Leader Drains,OFF,2,7.24147,80.65469,,,,,,,
13,964,Puliyadda,1. Renovation of three (03) Leader Drains,OFF,3,7.23766,80.65795,,,,,,,
13,964,Puliyadda,2. Establishment of Leader Drain/Uranhervuma Ela,OFF,1,7.24069,80.3910341,0.3 km x 1 m x 1 m,Leader Drain,"3,000.00 m-3"," 900,000.00 ",Guidance by NRMC ,0.25 Years,
13,964,Puliyadda,"3. Soil and water conservation measures in Puliyadda H.M.K.B. Herath and others, 45°",,1,7.1435045,80.3925521,16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1," 4,000,000.00 ",Funds by the Project,"0.5 Years
0.5 Years",
13,964,Puliyadda,4. Soil and water conservation measures in Hedansak Estate (30 - 60°),ON,1,7.236468,80.45458,"2.5 ha
4 ha","Lock and Spills
Live fencing/SALT","400.00 m-1
250.00 m-1"," 2.5*1000*400
1000000.00 ",,0.25 Years,
14,966,Ethulgama West ,1. Rennovation of five (05) Leader Drains,OFF,1, 7.238722461 , 80.660270260 ,9 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 900,000.00 ",Labour and other basic services by the Local community/ Shramadana,1.5 Years,
14,966,Ethulgama West ,1. Rennovation of five (05) Leader Drains,OFF,2,7.237756246,80.66005467,,,,,,,
14,966,Ethulgama West ,1. Rennovation of five (05) Leader Drains,OFF,3,7.236487336,80.659478780,,,,,,,
14,966,Ethulgama West ,1. Rennovation of five (05) Leader Drains,OFF,4,7.235192317,80.659141592,,,,,,,
14,966,Ethulgama West ,1. Rennovation of five (05) Leader Drains,OFF,5, 7.22816584 , 80.66074369 ,,,,,,,
14,966,Ethulgama West ,2. Establishing a Retaining Wall 1 (Ingurugolla New),OFF,1, 7.238352462 , 80.659881965 ,100 m x 3 m,Retaining Wall using stones,"2,000.00 m-2"," 600,000.00 ",Guidance by NRMC ,0.5 Years,
14,966,Ethulgama West ,3. Establishing a Retaining Wall 2 (Wehigaldeniya Ela and Kumbura),OFF,1, 7.244318328 , 80.658154376 ,200 m x 3 m,Retaining Wall using stones,"2,000.00 m-2"," 1,200,000.00 ",Funds by the Project,0.5 Years,
14,966,Ethulgama West ,4. Soil and water conservation measures in Ingurugolla Watte (35°),ON,1, 7.22944336 , 80.660284387 ,1 ha,"Stone terracing
Live fencing/SALT","2,500.00 m-1
250.00 m-1"," 2500000
250000.00 ",,0.5 Years,
14,966,Ethulgama West ,5. Soil and water conservation measures (Ingurugolla New) (35 - 70°),ON,1,,,8 ha,"Lock and spills - 3 ha
Stone terracing - 2 ha
Live fencing/SALT - 3 ha",400.00 m-1,"1200000.00
5000000.00
750000.00",Labour and other basic services by the Local community,0.5 Years,Scattered
14,966,Ethulgama West ,6. Soil and water conservation measures (Ingurugolla Old) (35 - 70°),ON,1,,,4 ha,"Stone terracing - 2 ha
Live fencing/SALT - 2 ha","2,500.00 m-1
250.00 m-1"," 5,000,000.00 ",Labour and other basic services by the Local community,0.25 Years,Scattered
